,data version,cv max (mixed),cv avg (mixed),cv max (free),cv avg (free),cv max (stipulated),cv avg (stipulated),LOO max avg (mixed),LOO avg (mixed),LOO max avg (free),LOO avg (free),LOO max avg (stipulated),LOO avg (stipulated)
0,V1,0.9561,0.9092069999999999,0.9332,0.866464,0.958,0.8978099999999998,0.7775571428571428,0.7133021428571429,0.6089714285714286,0.5388764285714286,0.8044142857142857,0.7425557142857143
1,V2,0.9728,0.9550319999999999,0.9684,0.9455170000000002,0.986,0.972959,0.8157428571428572,0.7733178571428572,0.6699285714285714,0.6202742857142857,0.8774285714285713,0.8389900000000002
2,V3,0.974,0.9471890909090908,0.9569,0.921684,0.9827,0.966229,0.7965571428571429,0.7508572368421053,0.6603428571428571,0.6055457142857142,0.8589142857142856,0.8173514285714285
