,loss,accuracy,val_loss,val_accuracy,epoch
0,3.339139699935913,0.0912698432803154,3.264328956604004,0.0634920671582222,0
1,2.949751138687134,0.1607142835855484,3.293699264526367,0.0357142873108387,1
2,2.6967899799346924,0.2579365074634552,3.224076986312866,0.0674603208899498,2
3,2.428481101989746,0.30158731341362,3.281904935836792,0.0357142873108387,3
4,2.136521339416504,0.3948412835597992,3.3412296772003174,0.075396828353405,4
5,2.010236978530884,0.4424603283405304,3.3069658279418945,0.0992063507437706,5
6,1.8422592878341675,0.5,3.336474895477295,0.0634920671582222,6
7,1.7610098123550415,0.5515872836112976,3.205664873123169,0.0833333358168602,7
8,1.4172978401184082,0.6408730149269104,3.2194278240203857,0.1944444477558136,8
9,1.4717284440994263,0.6210317611694336,3.072054624557495,0.130952388048172,9
10,1.357245922088623,0.601190447807312,3.12296986579895,0.1071428582072258,10
11,1.3067291975021362,0.64682537317276,2.9919676780700684,0.1785714328289032,11
12,1.166172981262207,0.6984127163887024,2.820233106613159,0.1825396865606308,12
13,1.1281312704086304,0.6937119960784912,2.7914507389068604,0.1944444477558136,13
14,1.0129430294036865,0.7678571343421936,2.7090609073638916,0.1626984179019928,14
15,0.9952999949455261,0.750507116317749,2.445873260498047,0.25,15
16,0.9259395003318787,0.7519841194152832,2.3677635192871094,0.2460317462682724,16
17,0.877360999584198,0.7896825671195984,2.381791353225708,0.25,17
18,0.803849458694458,0.8115079402923584,2.0075201988220215,0.3888888955116272,18
19,0.7798959612846375,0.829365074634552,1.9911030530929565,0.408730149269104,19
20,0.7829630970954895,0.8095238208770752,1.689532995223999,0.5039682388305664,20
21,0.7600372433662415,0.8115079402923584,1.4199855327606201,0.6150793433189392,21
22,0.7386748790740967,0.8174442052841187,1.2509368658065796,0.6230158805847168,22
23,0.660071849822998,0.8432539701461792,0.9024746417999268,0.7976190447807312,23
24,0.5906343460083008,0.8730158805847168,1.0536682605743408,0.6904761791229248,24
25,0.5982412695884705,0.85317462682724,0.7398179769515991,0.841269850730896,25
26,0.5802620649337769,0.8611111044883728,0.9246445894241333,0.7301587462425232,26
27,0.672938346862793,0.817460298538208,0.5082800388336182,0.9007936716079712,27
28,0.614874005317688,0.8392857313156128,0.5668591856956482,0.8690476417541504,28
29,0.5264912843704224,0.863095223903656,0.44011780619621277,0.9007936716079712,29
30,0.5735681653022766,0.8551587462425232,0.5180362462997437,0.8690476417541504,30
31,0.5210519433021545,0.8670634627342224,0.3488710820674896,0.9246031641960144,31
32,0.4427943229675293,0.9007936716079712,0.3898419141769409,0.89682537317276,32
33,0.49313655495643616,0.8690476417541504,0.3113287687301636,0.932539701461792,33
34,0.4485391676425934,0.8782961368560791,0.3570635914802551,0.9047619104385376,34
35,0.4970732629299164,0.8829365372657776,0.2670271396636963,0.9404761791229248,35
36,0.394737184047699,0.9067460298538208,0.20920288562774658,0.9523809552192688,36
37,0.42934101819992065,0.8908730149269104,0.32855552434921265,0.908730149269104,37
38,0.387367308139801,0.9126983880996704,0.20728550851345062,0.9484127163887024,38
39,0.4218253791332245,0.89682537317276,0.1990930289030075,0.9523809552192688,39
40,0.4003332853317261,0.898809552192688,0.23244598507881165,0.9603174328804016,40
41,0.40737029910087585,0.898809552192688,0.20998524129390717,0.932539701461792,41
42,0.3215175271034241,0.9305555820465088,0.26064759492874146,0.9166666865348816,42
43,0.32197585701942444,0.9107142686843872,0.21951733529567719,0.9365079402923584,43
44,0.3470293879508972,0.9305555820465088,0.15858735144138336,0.9603174328804016,44
45,0.3763297200202942,0.9067460298538208,0.29702436923980713,0.908730149269104,45
46,0.3923083543777466,0.898809552192688,0.2963528633117676,0.9047619104385376,46
47,0.3971048891544342,0.8888888955116272,0.3167473375797272,0.9047619104385376,47
48,0.34835249185562134,0.9046652913093567,0.33844083547592163,0.9007936716079712,48
49,0.35868337750434875,0.8928571343421936,0.3430439233779907,0.8928571343421936,49
50,0.37921643257141113,0.89682537317276,0.37861743569374084,0.8809523582458496,50
51,0.3143189549446106,0.9226190447807312,0.23886197805404663,0.920634925365448,51
52,0.27475836873054504,0.9404761791229248,0.1413792371749878,0.9682539701461792,52
53,0.2691750228404999,0.920634925365448,0.09314580261707306,0.9682539701461792,53
54,0.25446945428848267,0.9384920597076416,0.14620190858840942,0.9682539701461792,54
55,0.27418985962867737,0.932539701461792,0.15594172477722168,0.9603174328804016,55
56,0.3041822910308838,0.9067460298538208,0.1552894115447998,0.9682539701461792,56
57,0.2438001185655594,0.9523809552192688,0.15078376233577728,0.9563491940498352,57
58,0.29024431109428406,0.9265872836112976,0.16255269944667816,0.9365079402923584,58
59,0.2920946478843689,0.920634925365448,0.12607704102993011,0.9642857313156128,59
60,0.31686314940452576,0.9047619104385376,0.15996286273002625,0.9563491940498352,60
61,0.2624686658382416,0.9365079402923584,0.1891004890203476,0.9484127163887024,61
62,0.23794080317020416,0.9365079402923584,0.10787290334701538,0.9682539701461792,62
63,0.2811518609523773,0.9146825671195984,0.19288687407970428,0.9365079402923584,63
64,0.278967022895813,0.9285714030265808,0.1275193691253662,0.9523809552192688,64
65,0.2702256143093109,0.9265872836112976,0.11392621695995331,0.9603174328804016,65
66,0.2384544312953949,0.9365079402923584,0.1753561794757843,0.9523809552192688,66
67,0.1869804561138153,0.9484127163887024,0.16633830964565277,0.9563491940498352,67
68,0.2685215175151825,0.9345238208770752,0.11206614971160889,0.9682539701461792,68
69,0.22629521787166595,0.9464285969734192,0.1782352328300476,0.9563491940498352,69
70,0.24484185874462128,0.9226190447807312,0.1895277500152588,0.9365079402923584,70
71,0.22222551703453064,0.942460298538208,0.14560957252979279,0.9603174328804016,71
72,0.23062844574451447,0.954365074634552,0.0851522907614708,0.9841269850730896,72
73,0.24031512439250946,0.932539701461792,0.17261406779289246,0.9404761791229248,73
74,0.23072312772274017,0.9444444179534912,0.14651384949684143,0.9444444179534912,74
75,0.2349427491426468,0.9365079402923584,0.1301044523715973,0.9563491940498352,75
76,0.24228064715862274,0.9305555820465088,0.14959120750427246,0.9642857313156128,76
77,0.19052289426326752,0.9583333134651184,0.15989817678928375,0.9365079402923584,77
78,0.24793067574501038,0.9305555820465088,0.15675000846385956,0.9563491940498352,78
79,0.2110804170370102,0.9365079402923584,0.1420058161020279,0.9603174328804016,79
80,0.2206079363822937,0.9503968358039856,0.119563028216362,0.9722222089767456,80
81,0.20599330961704254,0.9484127163887024,0.07404624670743942,0.9722222089767456,81
82,0.24807491898536682,0.9285714030265808,0.09000658243894577,0.976190447807312,82
83,0.1773432195186615,0.9484127163887024,0.1716780811548233,0.9444444179534912,83
84,0.20525768399238586,0.9563491940498352,0.13663703203201294,0.9642857313156128,84
85,0.2116323560476303,0.9484127163887024,0.09250736981630325,0.9682539701461792,85
86,0.1832202672958374,0.9523809552192688,0.09458693861961365,0.976190447807312,86
87,0.15886060893535614,0.954365074634552,0.19144780933856964,0.9365079402923584,87
88,0.16947917640209198,0.9563491940498352,0.16405530273914337,0.9444444179534912,88
89,0.15669332444667816,0.966269850730896,0.06840033829212189,0.9801587462425232,89
90,0.14976999163627625,0.9563491940498352,0.1889355480670929,0.9444444179534912,90
91,0.1897904872894287,0.9384920597076416,0.08688373118638992,0.9682539701461792,91
92,0.1302623748779297,0.966269850730896,0.10784413665533066,0.9682539701461792,92
93,0.14241942763328552,0.954365074634552,0.08428315073251724,0.976190447807312,93
94,0.13872076570987701,0.9634888172149658,0.101561538875103,0.9682539701461792,94
95,0.13246780633926392,0.966269850730896,0.064203180372715,0.976190447807312,95
96,0.1571854203939438,0.9682539701461792,0.059284623712301254,0.9920634627342224,96
97,0.16595780849456787,0.9563491940498352,0.09902018308639526,0.9603174328804016,97
98,0.13535749912261963,0.9682539701461792,0.07883760333061218,0.9801587462425232,98
99,0.13466379046440125,0.9623016119003296,0.1877075582742691,0.9484127163887024,99
100,0.16818365454673767,0.954365074634552,0.06963006407022476,0.976190447807312,100
101,0.18440376222133636,0.9563491940498352,0.17841653525829315,0.9404761791229248,101
102,0.19464907050132751,0.9523809552192688,0.08990718424320221,0.9642857313156128,102
103,0.13205696642398834,0.9682539701461792,0.0644771084189415,0.9722222089767456,103
104,0.13646645843982697,0.9642857313156128,0.07742828875780106,0.976190447807312,104
105,0.15518607199192047,0.9563491940498352,0.17712675034999847,0.9444444179534912,105
106,0.15882344543933868,0.954365074634552,0.1456197053194046,0.9682539701461792,106
107,0.15867872536182404,0.9503968358039856,0.07514919340610504,0.9841269850730896,107
108,0.1513698548078537,0.9682539701461792,0.15313540399074554,0.9444444179534912,108
109,0.1534591019153595,0.9623016119003296,0.07972356677055359,0.9722222089767456,109
110,0.15098056197166443,0.9603174328804016,0.0931384488940239,0.976190447807312,110
111,0.18071113526821136,0.9523809552192688,0.05525242164731026,0.9841269850730896,111
112,0.12637068331241608,0.9603174328804016,0.11354133486747742,0.9682539701461792,112
113,0.19253207743167877,0.9484127163887024,0.11434982717037201,0.9642857313156128,113
114,0.151164710521698,0.9523809552192688,0.06732147932052612,0.9722222089767456,114
115,0.17031875252723694,0.942460298538208,0.05816031992435455,0.9722222089767456,115
116,0.1697835475206375,0.9444444179534912,0.07541458308696747,0.9801587462425232,116
117,0.15931792557239532,0.9484127163887024,0.12466725707054138,0.9603174328804016,117
118,0.14806775748729706,0.9603174328804016,0.1523839831352234,0.9404761791229248,118
119,0.15916815400123596,0.9503968358039856,0.09058743715286255,0.9722222089767456,119
120,0.13678836822509766,0.9682539701461792,0.12992729246616364,0.9682539701461792,120
121,0.13883468508720398,0.9642857313156128,0.09802480041980743,0.9722222089767456,121
122,0.16558904945850372,0.9583333134651184,0.059556376188993454,0.988095223903656,122
123,0.12879560887813568,0.9682539701461792,0.10509277880191803,0.9682539701461792,123
124,0.1035441905260086,0.9702380895614624,0.07807381451129913,0.9801587462425232,124
125,0.11384180933237076,0.966269850730896,0.06923618167638779,0.976190447807312,125
126,0.1375977247953415,0.9634888172149658,0.06621859967708588,0.9841269850730896,126
127,0.17229565978050232,0.9503968358039856,0.06462196260690689,0.976190447807312,127
128,0.10690902918577194,0.9682539701461792,0.06910264492034912,0.9801587462425232,128
129,0.13940995931625366,0.9563491940498352,0.1002022922039032,0.9682539701461792,129
130,0.1305745542049408,0.954365074634552,0.19867031276226044,0.9484127163887024,130
131,0.1233774721622467,0.9642857313156128,0.09698754549026489,0.9642857313156128,131
